doc_id,file_name,table_number,table_title,subentry_index,subentry_label,subentry_printed_page,subentry_page_index_estimate
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",2,II.—Victoria,1847,568
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",3,III.—Queensland,1847,568
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",4,IV.—South Australia,1848,569
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",5,V.—Western Australia,1848,569
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",6,VI.—Tasmania,1848,569
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",7,VII.—Northern Territory,1848,569
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,92,"Unemployed Females in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Period of Unemployment and Age",8,VIII.—Federal Capital Territory,1848,569
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",1,I.—New South Wales,1864,15
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",2,II.—Victoria,1866,17
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",3,III.—Queensland,1866,17
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",4,IV.—South Australia,1866,17
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",5,V.—Western Australia,1868,19
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",6,VI.—Tasmania,1868,19
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",7,VII.—Northern Territory,1868,19
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",8,VIII.—Federal Territory,1868,19
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,64,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",1,I.—New South Wales,1978,129
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,64,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",2,II.—Victoria,1984,135
